	Precious Achiuwa	Tor	F	23.23	12	20.4	42.5	21	12.3	33	0.848	64	0.484	28	0.179	0.418	0.493	8.8	7	19.4	1.3	9.5	0.17	0.58	1.25	8.5	105.5	106.5
	Steven Adams	Mem	C	29.4	24	26.7	55.6	14.2	23.1	65	0.292	140	0.614	1	0	0.61	0.563	8	10.5	21	2.3	11.5	0.79	1.04	2.13	8.7	112.4	103.1
	Bam Adebayo	Mia	C-F	25.41	26	35	73	26.2	14.4	139	0.842	391	0.54	10	0.1	0.53	0.586	20.8	9.5	15.5	3.3	16.9	0.96	0.73	3	9.9	111	101.8
	Ochai Agbaji	Uta	G	22.65	11	9.5	19.7	13.8	0	7	0.571	18	0.556	13	0.308	0.516	0.528	3.3	1.4	7.9	0.1	1.3	0.09	0	0	3.3	119.2	110.1
	Santi Aldama	Mem	F-C	21.92	26	24.7	51.5	15.3	6.7	51	0.745	102	0.578	98	0.357	0.558	0.587	10	5.8	12.4	1.4	7.5	0.85	0.92	0.62	7	125	102.3
	Nickeil Alexander-Walker	Uta	G	24.28	18	14	29.2	18.9	18.5	17	0.765	39	0.513	46	0.413	0.571	0.595	6.1	1.6	6.1	1.8	17.5	0.67	0.28	1.17	7.4	109.3	106.4
	Grayson Allen	Mil	G	27.18	23	27.4	57.2	15.1	12.4	55	0.927	64	0.5	110	0.409	0.572	0.631	10.9	3.6	6.9	2.7	13.4	0.78	0.22	1.22	6.9	125.3	106.5
	Jarrett Allen	Cle	C	24.65	21	32.7	68.2	17.4	13.7	77	0.74	196	0.617	3	0	0.608	0.642	14.2	10.5	18.8	1.3	6.3	0.67	1.33	1.76	7.1	124	100.8
	Jose Alvarado	Nor	G	24.67	26	20.9	43.5	19.5	14.1	34	0.824	94	0.543	105	0.39	0.565	0.591	9.7	2.2	5.9	3.2	21.2	1.23	0.15	1.35	7.8	115.7	100.8
	Kyle Anderson	Min	F-G	29.23	22	23.7	49.5	13.3	20	44	0.841	90	0.522	23	0.435	0.549	0.608	7.3	4.2	9.7	3.4	18.6	1.05	0.82	1.5	7.9	116	109.9
	Giannis Antetokounmpo	Mil	F	28.02	22	33.2	69.2	38.4	12.6	260	0.627	398	0.588	68	0.265	0.56	0.59	31.1	11.3	17.9	5.4	32.3	0.86	1	3.82	14.9	114	95.8
